participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10012,Malaysia,magnitude,1 | 2,1,TRUE,neutral,0.6435,-0.19145144875959455
10012,Malaysia,magnitude,7 | 9,2,TRUE,incongruent,0.5777,-0.23829763245858732
10012,Malaysia,magnitude,7 | 6,1,TRUE,congruent,1.1794,0.07166112344178778
10012,Malaysia,magnitude,1 | 2,1,TRUE,incongruent,0.9451,-0.024522236834125372
10012,Malaysia,magnitude,7 | 2,5,TRUE,incongruent,0.5595,-0.2521999091356312
10012,Malaysia,magnitude,4 | 9,5,TRUE,incongruent,0.678,-0.16877030613293661
10012,Malaysia,magnitude,2 | 4,2,TRUE,congruent,0.5272,-0.27802459841404653
10012,Malaysia,magnitude,1 | 2,1,TRUE,congruent,0.5138,-0.2892059000696726
10012,Malaysia,magnitude,3 | 8,5,TRUE,congruent,0.5464,-0.26248930932652387
10012,Malaysia,magnitude,1 | 3,2,TRUE,incongruent,0.7768,-0.10969078310005152
10012,Malaysia,magnitude,7 | 6,1,FALSE,incongruent,0.6167,-0.20992605157369523
10012,Malaysia,magnitude,3 | 4,1,TRUE,congruent,0.6123,-0.21303574056426708
10012,Malaysia,magnitude,2 | 7,5,TRUE,congruent,0.4433,-0.3533022687006655
10012,Malaysia,magnitude,6 | 8,2,TRUE,incongruent,0.6304,-0.20038379551850113
10012,Malaysia,magnitude,6 | 8,2,TRUE,congruent,0.4815,-0.3174037085394467
10012,Malaysia,magnitude,4 | 2,2,TRUE,congruent,0.6866,-0.1632962009102687
10012,Malaysia,magnitude,3 | 1,2,TRUE,neutral,0.4995,-0.3014645074379989
10012,Malaysia,magnitude,7 | 9,2,TRUE,neutral,0.6279,-0.20210951694165108
10012,Malaysia,magnitude,7 | 2,5,TRUE,neutral,0.5395,-0.2680085509810705
10012,Malaysia,magnitude,9 | 7,2,TRUE,congruent,0.7102,-0.14861933203440328
10012,Malaysia,magnitude,9 | 8,1,TRUE,congruent,0.4815,-0.3174037085394467
10012,Malaysia,magnitude,9 | 4,5,TRUE,congruent,0.3639,-0.43901794441376457
10012,Malaysia,magnitude,9 | 4,5,TRUE,neutral,0.3434,-0.46419970917510234
10012,Malaysia,magnitude,3 | 4,1,TRUE,neutral,1.1868,0.07437753764480426
10012,Malaysia,magnitude,8 | 9,1,TRUE,congruent,0.4725,-0.3255981871547183
10012,Malaysia,magnitude,4 | 2,2,TRUE,incongruent,0.7479,-0.12615646677656414
10012,Malaysia,magnitude,6 | 1,5,TRUE,congruent,0.5133,-0.2896287357392373
10012,Malaysia,magnitude,9 | 7,2,TRUE,neutral,0.532,-0.2740883677049518
10012,Malaysia,magnitude,6 | 7,1,TRUE,neutral,0.6864,-0.16342272515935097
10012,Malaysia,magnitude,1 | 6,5,TRUE,incongruent,0.4476,-0.3491099221436876
10012,Malaysia,magnitude,6 | 7,1,TRUE,incongruent,0.7532,-0.12308968865537281
10012,Malaysia,magnitude,6 | 1,5,TRUE,incongruent,0.6146,-0.21140744407964057
10012,Malaysia,magnitude,8 | 6,2,TRUE,congruent,0.578,-0.23807216157947098
10012,Malaysia,magnitude,1 | 6,5,TRUE,neutral,0.4881,-0.3114911923434788
10012,Malaysia,magnitude,8 | 9,1,FALSE,incongruent,0.4803,-0.3184874133610378
10012,Malaysia,magnitude,9 | 8,1,TRUE,incongruent,1.08,0.03342375548694973
