participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
10011,BCA,0.4772,1,magnitude,2 | 7,5,incongruent
10011,BCA,0.6832,1,magnitude,1 | 3,2,incongruent
10011,BCA,0.6055,1,magnitude,1 | 3,2,congruent
10011,BCA,0.466,1,magnitude,3 | 1,2,congruent
10011,BCA,0.4882,1,magnitude,1 | 6,5,incongruent
10011,BCA,0.5647,1,magnitude,7 | 6,1,incongruent
10011,BCA,0.5099,1,magnitude,6 | 1,5,congruent
10011,BCA,0.5384,1,magnitude,4 | 3,1,neutral
10011,BCA,0.4951,1,magnitude,4 | 9,5,congruent
10011,BCA,0.405,1,magnitude,7 | 2,5,congruent
10011,BCA,0.4475,1,magnitude,7 | 6,1,congruent
10011,BCA,0.4864,1,magnitude,1 | 6,5,neutral
10011,BCA,0.657,1,magnitude,9 | 4,5,incongruent
10011,BCA,0.4382,1,magnitude,4 | 2,2,incongruent
10011,BCA,0.4663,1,magnitude,7 | 9,2,incongruent
10011,BCA,0.4319,1,magnitude,9 | 4,5,neutral
10011,BCA,0.484,1,magnitude,3 | 4,1,congruent
10011,BCA,0.6293,1,magnitude,1 | 2,1,congruent
10011,BCA,0.5335,1,magnitude,1 | 6,5,congruent
10011,BCA,0.6013,1,magnitude,8 | 3,5,neutral
10011,BCA,0.7679,1,magnitude,8 | 6,2,incongruent
10011,BCA,0.5244,1,magnitude,2 | 1,1,incongruent
10011,BCA,0.4363,1,magnitude,4 | 3,1,congruent
10011,BCA,0.511,1,magnitude,8 | 9,1,neutral
10011,BCA,0.4617,1,magnitude,4 | 2,2,congruent
10011,BCA,0.4828,1,magnitude,7 | 9,2,congruent
10011,BCA,0.4001,1,magnitude,9 | 4,5,congruent
10011,BCA,0.6527,1,magnitude,9 | 8,1,incongruent
10011,BCA,0.5119,1,magnitude,8 | 6,2,congruent
10011,BCA,0.4494,1,magnitude,9 | 7,2,neutral
10011,BCA,0.539,1,magnitude,1 | 3,2,neutral
10011,BCA,0.5328,1,magnitude,8 | 9,1,congruent
