participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
18824,ACB,0.48,1,physical,2 | 1,1,incongruent
18824,ACB,0.669,1,physical,8 | 8,0,neutral
18824,ACB,0.898,1,physical,9 | 9,0,neutral
18824,ACB,0.531,1,physical,9 | 4,5,incongruent
18824,ACB,0.584,1,physical,1 | 1,0,neutral
18824,ACB,1.282,1,physical,4 | 2,2,incongruent
18824,ACB,0.615,1,physical,4 | 3,1,congruent
18824,ACB,0.521,1,physical,3 | 3,0,neutral
18824,ACB,0.513,1,physical,3 | 3,0,neutral
18824,ACB,0.634,1,physical,6 | 1,5,incongruent
18824,ACB,1.313,1,physical,1 | 2,1,congruent
18824,ACB,0.816,1,physical,7 | 2,5,incongruent
18824,ACB,0.618,1,physical,9 | 7,2,incongruent
18824,ACB,0.843,1,physical,4 | 9,5,incongruent
18824,ACB,1.462,1,physical,1 | 1,0,neutral
18824,ACB,0.681,1,physical,7 | 7,0,neutral
18824,ACB,0.499,1,physical,3 | 1,2,incongruent
18824,ACB,0.411,1,physical,1 | 3,2,incongruent
18824,ACB,0.602,1,physical,6 | 8,2,incongruent
18824,ACB,0.631,1,physical,8 | 9,1,incongruent
18824,ACB,0.445,1,physical,4 | 4,0,neutral
18824,ACB,0.75,1,physical,3 | 4,1,incongruent
18824,ACB,0.495,1,physical,2 | 2,0,neutral
18824,ACB,0.411,1,physical,4 | 2,2,congruent
18824,ACB,0.479,1,physical,8 | 3,5,congruent
18824,ACB,0.527,0,physical,3 | 8,5,incongruent
18824,ACB,0.695,1,physical,9 | 7,2,congruent
18824,ACB,0.534,1,physical,2 | 7,5,incongruent
18824,ACB,0.562,1,physical,8 | 8,0,neutral
18824,ACB,0.545,1,physical,2 | 7,5,congruent
18824,ACB,0.815,1,physical,2 | 1,1,congruent
18824,ACB,0.513,1,physical,7 | 6,1,incongruent
18824,ACB,0.378,1,physical,9 | 4,5,congruent
18824,ACB,0.362,1,physical,1 | 6,5,congruent
18824,ACB,0.634,1,physical,7 | 9,2,congruent
18824,ACB,0.528,1,physical,3 | 8,5,congruent
18824,ACB,0.497,1,physical,3 | 4,1,congruent
18824,ACB,0.667,1,physical,8 | 8,0,neutral
18824,ACB,0.615,1,physical,2 | 2,0,neutral
18824,ACB,0.495,1,physical,6 | 6,0,neutral
18824,ACB,0.893,1,physical,7 | 9,2,incongruent
18824,ACB,0.465,1,physical,7 | 2,5,congruent
18824,ACB,0.444,1,physical,8 | 9,1,congruent
18824,ACB,0.562,1,physical,9 | 8,1,incongruent
18824,ACB,0.514,1,physical,6 | 6,0,neutral
18824,ACB,0.597,1,physical,8 | 6,2,congruent
18824,ACB,0.579,1,physical,9 | 8,1,congruent
18824,ACB,0.493,1,physical,4 | 4,0,neutral
18824,ACB,0.429,1,physical,6 | 1,5,congruent
18824,ACB,0.745,1,physical,2 | 4,2,incongruent
18824,ACB,0.485,1,physical,6 | 7,1,congruent
18824,ACB,0.554,1,physical,6 | 6,0,neutral
18824,ACB,0.496,1,physical,4 | 3,1,incongruent
18826,ACB,0.6662,1,magnitude,1 | 3,2,congruent
18826,ACB,0.7903,1,magnitude,6 | 8,2,congruent
18826,ACB,0.5565,1,magnitude,6 | 7,1,congruent
18826,ACB,0.6288,1,magnitude,4 | 2,2,neutral
18826,ACB,0.695,1,magnitude,9 | 7,2,incongruent
18826,ACB,0.9209,1,magnitude,8 | 9,1,congruent
18826,ACB,0.6083,0,magnitude,6 | 7,1,neutral
18826,ACB,0.9312,1,magnitude,2 | 4,2,neutral
18826,ACB,0.6338,1,magnitude,8 | 3,5,neutral
18826,ACB,0.6988,1,magnitude,8 | 6,2,neutral
18826,ACB,0.6727,1,magnitude,1 | 6,5,incongruent
18826,ACB,0.7598,1,magnitude,4 | 3,1,congruent
18826,ACB,0.5164,1,magnitude,2 | 7,5,incongruent
18826,ACB,0.6084,1,magnitude,3 | 4,1,neutral
18826,ACB,0.5838,1,magnitude,3 | 1,2,neutral
18826,ACB,0.5033,1,magnitude,7 | 2,5,neutral
18826,ACB,0.4977,1,magnitude,8 | 6,2,congruent
18826,ACB,0.3988,1,magnitude,7 | 9,2,congruent
18826,ACB,0.4465,1,magnitude,6 | 1,5,congruent
18826,ACB,0.8688,1,magnitude,6 | 7,1,incongruent
18826,ACB,0.5142,1,magnitude,2 | 7,5,neutral
18826,ACB,0.3787,1,magnitude,9 | 8,1,congruent
18826,ACB,0.6648,1,magnitude,1 | 3,2,incongruent
18826,ACB,0.6692,1,magnitude,4 | 2,2,incongruent
18826,ACB,0.5647,1,magnitude,2 | 1,1,congruent
18826,ACB,0.6739,1,magnitude,8 | 9,1,neutral
18826,ACB,0.6019,1,magnitude,1 | 2,1,incongruent
18826,ACB,0.4699,1,magnitude,6 | 1,5,neutral
18826,ACB,0.4717,1,magnitude,1 | 2,1,neutral
18826,ACB,0.5352,1,magnitude,6 | 1,5,incongruent
18826,ACB,0.5624,1,magnitude,3 | 8,5,incongruent
